booking_id,guest_id,property_id,room_id,booking_date,check_in_date,check_out_date,number_of_nights,booking_channel,nightly_rate,total_price,status,payment_method,guests_count
BK00000042,GUEST004585,PROP002,PROP002_R0015,2022-03-23,2022-04-07,2022-04-14,7,Travel Agency,334.43,2341.02,Completed,Credit Card,2
BK00000043,GUEST002461,PROP003,PROP003_R0018,2022-09-30,2022-11-17,2022-11-19,2,Direct Website,307.45,614.9,Completed,Cash,4
BK00000044,GUEST003047,PROP001,PROP001_R0015,2022-05-03,2022-06-05,2022-06-07,2,Airbnb,91.86,183.72,Completed,PayPal,1
BK00000045,GUEST004298,PROP002,PROP002_R0001,2023-06-29,2023-08-06,2023-08-13,7,Travel Agency,286.8,2007.63,Completed,Credit Card,1
BK00000046,GUEST001123,PROP005,PROP005_R0019,2023-10-17,2023-12-15,2023-12-18,3,Corporate,637.93,1913.78,Completed,Credit Card,2
BK00000047,GUEST001750,PROP008,PROP008_R0027,2023-01-22,2023-03-06,2023-03-10,4,Hotel.com,251.51,1006.04,Completed,Bank Transfer,4
BK00000048,GUEST003922,PROP008,PROP008_R0016,2023-03-15,2023-03-22,2023-03-24,2,Corporate,165.68,331.36,Completed,Cash,2
BK00000049,GUEST004531,PROP007,PROP007_R0024,2022-05-26,2022-06-05,2022-06-07,2,Booking.com,662.47,1324.95,Completed,Cash,2
BK00000050,GUEST001192,PROP009,PROP009_R0002,2022-05-20,2022-06-20,2022-06-22,2,Corporate,545.12,1090.24,Completed,PayPal,1
BK00000051,GUEST001350,PROP010,PROP010_R0021,2023-05-21,2023-07-01,2023-07-04,3,Travel Agency,179.32,537.95,Completed,Cash,4
BK00000052,GUEST001847,PROP006,PROP006_R0012,2023-06-22,2023-07-19,2023-07-26,7,Corporate,179.56,1256.9,Completed,Bank Transfer,1
BK00000053,GUEST000352,PROP007,PROP007_R0024,2023-10-19,2023-12-08,2023-12-12,4,Corporate,667.05,2668.21,Completed,Cash,4
BK00000054,GUEST001578,PROP001,PROP001_R0022,2024-02-05,2024-03-02,2024-03-04,2,Airbnb,218.91,437.82,Completed,Cash,4
BK00000055,GUEST001841,PROP010,PROP010_R0026,2022-09-18,2022-10-19,2022-10-21,2,Corporate,186.57,373.13,Completed,Bank Transfer,4
BK00000056,GUEST001978,PROP003,PROP003_R0014,2024-12-03,2024-12-22,2024-12-23,1,Booking.com,207.0,207.0,Completed,PayPal,4
BK00000057,GUEST003546,PROP002,PROP002_R0013,2022-03-05,2022-04-01,2022-04-03,2,Hotel.com,518.21,1036.41,Completed,Bank Transfer,1
BK00000058,GUEST000696,PROP009,PROP009_R0026,2022-10-26,2022-12-15,2022-12-17,2,Direct Website,658.66,1317.33,Completed,PayPal,1
BK00000059,GUEST002273,PROP006,PROP006_R0019,2024-03-16,2024-04-03,2024-04-05,2,Corporate,312.96,625.92,Completed,PayPal,4
BK00000060,GUEST002487,PROP006,PROP006_R0016,2023-11-01,2023-12-30,2024-01-03,4,Expedia,489.25,1956.99,Completed,PayPal,3
BK00000061,GUEST004190,PROP008,PROP008_R0011,2024-09-25,2024-10-20,2024-10-22,2,Corporate,358.65,717.31,Completed,Cash,2
BK00000062,GUEST002762,PROP008,PROP008_R0009,2022-07-06,2022-08-20,2022-08-21,1,Hotel.com,605.79,605.79,Completed,Bank Transfer,4
BK00000064,GUEST002062,PROP002,PROP002_R0009,2023-07-04,2023-09-02,2023-09-06,4,Expedia,529.79,2119.17,Completed,Cash,3
BK00000065,GUEST004870,PROP005,PROP005_R0014,2024-11-17,2024-12-02,2024-12-09,7,Travel Agency,168.16,1177.1,Completed,PayPal,3
BK00000066,GUEST001962,PROP006,PROP006_R0013,2023-01-27,2023-02-19,2023-02-26,7,Corporate,236.15,1653.02,Completed,Credit Card,3
BK00000068,GUEST002282,PROP007,PROP007_R0001,2023-06-25,2023-08-03,2023-08-05,2,Travel Agency,417.66,835.32,Completed,Bank Transfer,4
BK00000069,GUEST001141,PROP004,PROP004_R0018,2023-08-28,2023-09-10,2023-09-17,7,Travel Agency,466.13,3262.91,Completed,Bank Transfer,3
BK00000070,GUEST004530,PROP009,PROP009_R0026,2023-10-20,2023-11-03,2023-11-05,2,Travel Agency,415.04,830.08,Completed,Cash,4
BK00000071,GUEST004261,PROP010,PROP010_R0016,2022-12-22,2022-12-30,2023-01-01,2,Corporate,403.45,806.91,Completed,Bank Transfer,3
BK00000072,GUEST001686,PROP004,PROP004_R0020,2023-11-22,2023-12-04,2023-12-05,1,Direct Website,269.64,269.64,Completed,Bank Transfer,4
BK00000073,GUEST002013,PROP006,PROP006_R0006,2024-03-13,2024-04-13,2024-04-17,4,Airbnb,268.7,1074.8,Completed,PayPal,3
BK00000074,GUEST003761,PROP010,PROP010_R0013,2023-12-01,2023-12-11,2023-12-16,5,Direct Website,349.47,1747.35,Completed,Cash,3
BK00000075,GUEST000591,PROP010,PROP010_R0017,2023-06-02,2023-06-10,2023-06-12,2,Hotel.com,605.56,1211.13,Completed,Credit Card,4
BK00000076,GUEST003221,PROP009,PROP009_R0007,2022-01-07,2022-01-12,2022-01-13,1,Corporate,498.76,498.76,Completed,Cash,2
BK00000077,GUEST004056,PROP005,PROP005_R0002,2024-07-20,2024-09-18,2024-09-22,4,Travel Agency,391.24,1564.97,Cancelled,PayPal,3
BK00000078,GUEST004649,PROP009,PROP009_R0014,2024-05-11,2024-05-24,2024-05-29,5,Booking.com,149.21,746.03,Completed,PayPal,3
BK00000079,GUEST003504,PROP001,PROP001_R0013,2024-09-29,2024-11-07,2024-11-08,1,Expedia,326.83,326.83,Completed,PayPal,1
BK00000080,GUEST003582,PROP008,PROP008_R0005,2024-03-03,2024-03-24,2024-03-26,2,Expedia,387.77,775.53,Completed,PayPal,1
BK00000081,GUEST001484,PROP003,PROP003_R0005,2022-09-09,2022-10-03,2022-10-10,7,Expedia,442.96,3100.75,Completed,PayPal,1
BK00000082,GUEST000576,PROP001,PROP001_R0016,2023-07-23,2023-07-30,2023-08-04,5,Expedia,300.75,1503.77,Completed,Cash,3
BK00000083,GUEST000786,PROP003,PROP003_R0004,2024-05-16,2024-05-30,2024-06-03,4,Booking.com,469.36,1877.42,Completed,PayPal,1
BK00000084,GUEST000491,PROP010,PROP010_R0024,2022-01-21,2022-01-29,2022-01-30,1,Booking.com,501.99,501.99,Completed,PayPal,3
BK00000085,GUEST002271,PROP010,PROP010_R0011,2023-08-06,2023-09-03,2023-09-06,3,Travel Agency,415.25,1245.74,Completed,Credit Card,2
BK00000086,GUEST001806,PROP004,PROP004_R0001,2023-07-01,2023-08-30,2023-09-02,3,Expedia,548.98,1646.95,Completed,Credit Card,3
BK00000087,GUEST001243,PROP004,PROP004_R0017,2022-02-17,2022-03-25,2022-03-28,3,Direct Website,387.73,1163.18,Completed,PayPal,3
BK00000088,GUEST001408,PROP004,PROP004_R0023,2024-02-24,2024-03-09,2024-03-11,2,Corporate,186.07,372.15,Completed,Bank Transfer,1
BK00000089,GUEST000747,PROP003,PROP003_R0007,2023-07-07,2023-08-28,2023-08-30,2,Booking.com,419.92,839.84,Completed,Bank Transfer,4
BK00000090,GUEST000784,PROP002,PROP002_R0007,2023-05-20,2023-07-14,2023-07-18,4,Expedia,345.66,1382.66,Completed,Cash,4
BK00000091,GUEST001983,PROP004,PROP004_R0021,2024-07-30,2024-09-08,2024-09-09,1,Booking.com,318.4,318.4,Completed,Cash,2
BK00000092,GUEST001806,PROP003,PROP003_R0001,2023-07-27,2023-08-03,2023-08-13,10,Expedia,446.6,4465.97,Completed,Bank Transfer,1
BK00000093,GUEST002528,PROP004,PROP004_R0003,2024-06-10,2024-07-18,2024-07-25,7,Direct Website,572.7,4008.87,Completed,Bank Transfer,4
BK00000094,GUEST001749,PROP008,PROP008_R0011,2023-04-21,2023-04-28,2023-04-29,1,Expedia,359.49,359.49,Completed,Bank Transfer,1
BK00000095,GUEST003639,PROP007,PROP007_R0026,2024-06-25,2024-07-05,2024-07-06,1,Expedia,70.09,70.09,Completed,Cash,4
BK00000096,GUEST003115,PROP010,PROP010_R0015,2022-02-17,2022-03-24,2022-03-26,2,Booking.com,301.32,602.64,Completed,Bank Transfer,3
BK00000097,GUEST004027,PROP004,PROP004_R0028,2024-06-13,2024-08-03,2024-08-07,4,Hotel.com,575.95,2303.78,Completed,PayPal,3
BK00000098,GUEST000170,PROP006,PROP006_R0013,2024-10-19,2024-11-21,2024-11-23,2,Direct Website,277.6,555.21,Cancelled,Credit Card,4
BK00000099,GUEST004969,PROP008,PROP008_R0004,2023-02-25,2023-03-21,2023-03-23,2,Booking.com,358.64,717.28,Completed,Credit Card,2
BK00000100,GUEST004924,PROP002,PROP002_R0028,2024-02-13,2024-02-24,2024-02-26,2,Booking.com,343.68,687.36,Completed,PayPal,4
BK00000101,GUEST001786,PROP004,PROP004_R0008,2023-10-06,2023-10-29,2023-10-31,2,Hotel.com,535.52,1071.04,Completed,PayPal,4
BK00000102,GUEST002038,PROP005,PROP005_R0005,2023-08-19,2023-10-16,2023-10-18,2,Expedia,343.48,686.96,Completed,Cash,2
BK00000103,GUEST004919,PROP007,PROP007_R0022,2024-08-19,2024-08-21,2024-08-23,2,Direct Website,216.99,433.98,Completed,Credit Card,2
BK00000104,GUEST003705,PROP002,PROP002_R0029,2022-02-14,2022-03-11,2022-03-18,7,Travel Agency,83.24,582.68,Completed,Bank Transfer,3
BK00000105,GUEST003121,PROP006,PROP006_R0024,2022-02-11,2022-03-15,2022-03-18,3,Corporate,140.55,421.65,Cancelled,PayPal,4
BK00000106,GUEST003475,PROP008,PROP008_R0003,2022-07-03,2022-07-31,2022-08-01,1,Hotel.com,312.81,312.81,Completed,Cash,3
BK00000107,GUEST001873,PROP006,PROP006_R0022,2023-07-06,2023-07-30,2023-08-09,10,Corporate,107.12,1071.23,Completed,Credit Card,3
BK00000108,GUEST001296,PROP008,PROP008_R0014,2022-12-12,2022-12-27,2023-01-01,5,Travel Agency,284.32,1421.58,Completed,Bank Transfer,2
BK00000109,GUEST003125,PROP001,PROP001_R0024,2024-01-17,2024-01-21,2024-01-31,10,Travel Agency,265.57,2655.74,Completed,Bank Transfer,2
BK00000110,GUEST001301,PROP002,PROP002_R0011,2022-07-09,2022-08-18,2022-08-22,4,Direct Website,304.98,1219.91,Completed,Cash,1
BK00000112,GUEST003712,PROP005,PROP005_R0006,2022-11-02,2022-11-21,2022-11-26,5,Expedia,250.76,1253.78,Completed,Bank Transfer,2
BK00000113,GUEST002282,PROP007,PROP007_R0018,2023-01-16,2023-01-31,2023-02-04,4,Expedia,178.65,714.6,Completed,Bank Transfer,4
BK00000114,GUEST001366,PROP005,PROP005_R0029,2024-12-02,2024-12-07,2024-12-09,2,Travel Agency,411.94,823.89,Completed,Cash,2
BK00000115,GUEST000428,PROP002,PROP002_R0008,2022-12-27,2023-01-15,2023-01-17,2,Expedia,242.51,485.02,Completed,Cash,4
BK00000116,GUEST001376,PROP007,PROP007_R0015,2023-04-29,2023-05-01,2023-05-04,3,Travel Agency,440.87,1322.6,Completed,Bank Transfer,2
BK00000117,GUEST000632,PROP010,PROP010_R0028,2022-05-18,2022-07-07,2022-07-12,5,Corporate,206.48,1032.39,Completed,PayPal,1
BK00000119,GUEST004534,PROP008,PROP008_R0015,2024-01-26,2024-03-13,2024-03-16,3,Direct Website,357.8,1073.4,No-Show,Credit Card,2
BK00000120,GUEST004372,PROP003,PROP003_R0001,2023-01-18,2023-02-03,2023-02-10,7,Booking.com,284.7,1992.89,Completed,Credit Card,1
BK00000121,GUEST001408,PROP006,PROP006_R0004,2023-07-12,2023-08-14,2023-08-16,2,Booking.com,463.9,927.8,Completed,Credit Card,1
BK00000122,GUEST004133,PROP009,PROP009_R0010,2022-04-27,2022-05-23,2022-05-30,7,Corporate,327.42,2291.96,Completed,Cash,2
BK00000123,GUEST000397,PROP003,PROP003_R0024,2024-08-18,2024-08-28,2024-08-31,3,Airbnb,382.29,1146.87,Completed,Bank Transfer,2
BK00000124,GUEST004989,PROP004,PROP004_R0025,2024-01-23,2024-02-29,2024-03-07,7,Travel Agency,363.99,2547.92,Completed,Cash,3
BK00000125,GUEST002014,PROP008,PROP008_R0019,2024-07-20,2024-08-01,2024-08-05,4,Direct Website,376.6,1506.42,Completed,Credit Card,1
BK00000126,GUEST001328,PROP004,PROP004_R0001,2022-03-28,2022-04-02,2022-04-06,4,Expedia,389.96,1559.84,Completed,Bank Transfer,4
BK00000127,GUEST000005,PROP003,PROP003_R0005,2023-08-12,2023-09-11,2023-09-14,3,Corporate,501.53,1504.59,Completed,Cash,4
BK00000128,GUEST004509,PROP007,PROP007_R0029,2024-04-07,2024-06-03,2024-06-13,10,Travel Agency,568.25,5682.47,Completed,Credit Card,4
BK00000129,GUEST002900,PROP009,PROP009_R0022,2024-04-09,2024-05-28,2024-05-29,1,Booking.com,181.67,181.67,Completed,PayPal,3
BK00000130,GUEST003340,PROP009,PROP009_R0023,2022-12-08,2023-01-10,2023-01-24,14,Airbnb,479.03,6706.45,Completed,Credit Card,4
BK00000131,GUEST000299,PROP003,PROP003_R0008,2023-02-28,2023-03-05,2023-03-06,1,Airbnb,46.3,46.3,Completed,Bank Transfer,3
BK00000132,GUEST000947,PROP005,PROP005_R0011,2024-04-24,2024-05-19,2024-05-20,1,Direct Website,300.61,300.61,Completed,PayPal,4
BK00000133,GUEST003061,PROP005,PROP005_R0015,2022-02-18,2022-03-11,2022-03-14,3,Direct Website,49.59,148.76,Completed,PayPal,4
BK00000134,GUEST000132,PROP004,PROP004_R0011,2023-03-18,2023-04-15,2023-04-17,2,Airbnb,222.34,444.68,Completed,Cash,2
BK00000135,GUEST004837,PROP008,PROP008_R0003,2022-10-14,2022-11-25,2022-12-02,7,Direct Website,205.67,1439.68,Completed,Cash,3
BK00000136,GUEST002003,PROP007,PROP007_R0019,2022-10-19,2022-10-21,2022-10-31,10,Hotel.com,406.8,4068.03,Completed,Bank Transfer,2
BK00000137,GUEST002072,PROP008,PROP008_R0017,2024-09-23,2024-10-19,2024-10-24,5,Expedia,395.62,1978.09,Completed,Bank Transfer,4
BK00000138,GUEST003044,PROP008,PROP008_R0011,2023-02-24,2023-03-26,2023-03-31,5,Hotel.com,310.51,1552.55,Completed,Cash,2
BK00000139,GUEST000421,PROP007,PROP007_R0006,2023-05-18,2023-05-28,2023-06-01,4,Hotel.com,174.6,698.41,Completed,Bank Transfer,1
BK00000140,GUEST003065,PROP005,PROP005_R0026,2022-04-19,2022-05-12,2022-05-16,4,Hotel.com,336.78,1347.12,Completed,Cash,4
BK00000141,GUEST003551,PROP007,PROP007_R0029,2022-06-09,2022-07-18,2022-07-20,2,Expedia,567.68,1135.36,No-Show,Bank Transfer,3
BK00000142,GUEST004199,PROP006,PROP006_R0014,2024-09-04,2024-09-07,2024-09-09,2,Direct Website,95.61,191.23,Completed,Credit Card,4
BK00000143,GUEST002888,PROP002,PROP002_R0026,2023-11-10,2023-11-23,2023-11-25,2,Travel Agency,414.74,829.48,Completed,Credit Card,3
BK00000144,GUEST001360,PROP009,PROP009_R0015,2022-01-23,2022-01-30,2022-02-02,3,Booking.com,444.26,1332.77,Completed,Bank Transfer,2
BK00000145,GUEST002209,PROP009,PROP009_R0023,2022-05-03,2022-05-05,2022-05-15,10,Hotel.com,335.22,3352.23,Completed,Credit Card,2
BK00000146,GUEST003042,PROP009,PROP009_R0021,2022-02-19,2022-03-20,2022-03-21,1,Airbnb,278.97,278.97,Completed,PayPal,4
BK00000147,GUEST003771,PROP006,PROP006_R0009,2023-12-12,2024-01-21,2024-01-23,2,Hotel.com,661.62,1323.23,Cancelled,PayPal,3
BK00000148,GUEST003015,PROP005,PROP005_R0001,2022-04-15,2022-06-06,2022-06-10,4,Airbnb,601.08,2404.33,Completed,Cash,1
BK00000149,GUEST003994,PROP008,PROP008_R0028,2024-06-06,2024-07-25,2024-07-29,4,Airbnb,155.16,620.63,Completed,PayPal,1
BK00000150,GUEST004640,PROP009,PROP009_R0025,2024-11-02,2024-11-07,2024-11-10,3,Airbnb,86.77,260.31,No-Show,Bank Transfer,2
BK00000151,GUEST002705,PROP007,PROP007_R0017,2024-06-19,2024-08-05,2024-08-06,1,Booking.com,614.33,614.33,Completed,Credit Card,3
BK00000152,GUEST001165,PROP003,PROP003_R0008,2023-02-07,2023-02-13,2023-02-20,7,Booking.com,49.24,344.71,Completed,Cash,4
BK00000153,GUEST003231,PROP005,PROP005_R0012,2023-03-28,2023-03-31,2023-04-05,5,Hotel.com,153.54,767.68,Completed,Bank Transfer,1
BK00000154,GUEST000100,PROP005,PROP005_R0025,2022-09-30,2022-10-13,2022-10-20,7,Direct Website,99.38,695.63,Completed,Bank Transfer,4
BK00000155,GUEST001587,PROP010,PROP010_R0012,2024-05-05,2024-06-26,2024-07-10,14,Direct Website,103.81,1453.3,Completed,Credit Card,2
BK00000156,GUEST004482,PROP007,PROP007_R0001,2023-06-07,2023-08-05,2023-08-09,4,Travel Agency,391.1,1564.41,Completed,Bank Transfer,2
BK00000157,GUEST000543,PROP001,PROP001_R0006,2022-12-01,2023-01-25,2023-01-30,5,Corporate,572.17,2860.85,Completed,Credit Card,1
BK00000158,GUEST003954,PROP005,PROP005_R0023,2022-05-16,2022-05-31,2022-06-05,5,Travel Agency,474.38,2371.9,Completed,Credit Card,4
BK00000159,GUEST004043,PROP003,PROP003_R0016,2022-08-22,2022-08-28,2022-09-02,5,Airbnb,237.43,1187.16,Completed,Credit Card,4
BK00000160,GUEST003049,PROP006,PROP006_R0006,2024-08-18,2024-09-04,2024-09-06,2,Airbnb,248.55,497.1,Completed,Cash,3
BK00000161,GUEST004315,PROP006,PROP006_R0018,2022-11-15,2022-12-28,2023-01-01,4,Travel Agency,343.55,1374.18,Completed,Cash,3
BK00000162,GUEST002010,PROP010,PROP010_R0025,2023-04-09,2023-06-01,2023-06-03,2,Airbnb,160.52,321.05,Completed,PayPal,1
BK00000163,GUEST003960,PROP007,PROP007_R0015,2023-07-12,2023-08-03,2023-08-05,2,Airbnb,562.63,1125.27,Completed,Credit Card,3
BK00000164,GUEST003316,PROP008,PROP008_R0018,2022-04-16,2022-05-24,2022-05-25,1,Booking.com,271.65,271.65,Completed,Credit Card,3
BK00000165,GUEST000873,PROP005,PROP005_R0013,2022-10-31,2022-12-06,2022-12-13,7,Travel Agency,354.62,2482.31,Completed,PayPal,2
BK00000166,GUEST002038,PROP004,PROP004_R0018,2024-08-08,2024-10-05,2024-10-08,3,Corporate,513.14,1539.42,Completed,Bank Transfer,2
BK00000167,GUEST004442,PROP002,PROP002_R0027,2024-11-01,2024-11-25,2024-11-28,3,Travel Agency,281.34,844.02,Completed,PayPal,4
BK00000168,GUEST003435,PROP007,PROP007_R0010,2023-11-10,2023-11-30,2023-12-01,1,Travel Agency,148.18,148.18,Completed,Bank Transfer,1
BK00000169,GUEST001331,PROP004,PROP004_R0008,2024-09-12,2024-11-11,2024-11-16,5,Corporate,399.53,1997.66,Completed,Bank Transfer,1
BK00000170,GUEST000467,PROP006,PROP006_R0009,2024-06-11,2024-07-07,2024-07-10,3,Booking.com,637.75,1913.25,Completed,Cash,4
BK00000171,GUEST003394,PROP003,PROP003_R0005,2024-08-27,2024-08-29,2024-09-03,5,Corporate,570.7,2853.48,Completed,Cash,3
BK00000172,GUEST000969,PROP006,PROP006_R0013,2023-09-23,2023-10-09,2023-10-16,7,Hotel.com,327.97,2295.76,Completed,PayPal,4
BK00000173,GUEST003247,PROP008,PROP008_R0019,2023-03-15,2023-04-10,2023-04-17,7,Travel Agency,306.72,2147.06,Completed,Credit Card,4
BK00000174,GUEST002347,PROP004,PROP004_R0014,2023-05-14,2023-06-23,2023-06-26,3,Booking.com,330.82,992.46,Completed,PayPal,2
BK00000175,GUEST001305,PROP006,PROP006_R0017,2023-11-01,2023-12-09,2023-12-13,4,Expedia,186.8,747.2,Completed,Cash,4
BK00000176,GUEST000825,PROP002,PROP002_R0023,2022-06-18,2022-06-24,2022-06-27,3,Airbnb,136.14,408.42,Completed,PayPal,1
BK00000177,GUEST004427,PROP003,PROP003_R0028,2024-05-27,2024-06-28,2024-07-01,3,Booking.com,374.0,1122.01,Completed,Credit Card,1
BK00000178,GUEST000421,PROP003,PROP003_R0018,2022-01-05,2022-02-05,2022-02-12,7,Travel Agency,311.54,2180.76,Completed,Credit Card,2
BK00000179,GUEST001094,PROP001,PROP001_R0022,2023-08-20,2023-10-13,2023-10-27,14,Direct Website,243.52,3409.31,Completed,PayPal,3
BK00000180,GUEST004686,PROP006,PROP006_R0004,2022-06-29,2022-07-02,2022-07-16,14,Corporate,356.62,4992.69,Completed,PayPal,2
BK00000181,GUEST002705,PROP005,PROP005_R0010,2022-07-24,2022-07-27,2022-07-29,2,Booking.com,178.79,357.59,Completed,Cash,1
BK00000182,GUEST000002,PROP001,PROP001_R0011,2023-01-29,2023-03-21,2023-03-24,3,Hotel.com,300.42,901.25,Completed,Bank Transfer,2
BK00000183,GUEST004018,PROP007,PROP007_R0025,2022-08-09,2022-08-27,2022-08-30,3,Direct Website,697.82,2093.45,Completed,Credit Card,3
BK00000184,GUEST004310,PROP010,PROP010_R0030,2022-05-27,2022-07-20,2022-07-24,4,Travel Agency,363.99,1455.97,Completed,Bank Transfer,3
BK00000185,GUEST000533,PROP003,PROP003_R0001,2024-08-04,2024-09-12,2024-09-15,3,Airbnb,427.89,1283.67,Completed,Credit Card,3
BK00000186,GUEST004218,PROP003,PROP003_R0009,2022-07-16,2022-08-17,2022-08-20,3,Corporate,296.07,888.22,Completed,PayPal,2
