room_id,property_id,room_number,room_type,floor,capacity,view_type,size_sqm,base_price_per_night,amenities,last_renovation
PROP001_R0021,PROP001,21,Suite,1,2,Mountain View,28,256,Balcony|Safe|Spa|Breakfast Included|TV|Heating|Mini Bar|Hairdryer,2018
PROP001_R0022,PROP001,22,Deluxe,4,2,Garden View,96,228,Pool Access|AC|Iron|Safe|TV|Gym Access|Desk|Mini Bar|Spa|Balcony|Bathrobe,2015
PROP001_R0023,PROP001,23,Standard,1,3,City View,71,145,Bathrobe|Desk|Gym Access|TV|AC,2018
PROP001_R0024,PROP001,24,Deluxe,2,1,Standard,34,220,Iron|Heating|Pool Access|TV|Parking|Spa|Breakfast Included|AC,2022
PROP001_R0025,PROP001,25,Standard,5,1,Mountain View,47,115,AC|Safe|Balcony|WiFi|TV|Breakfast Included,2017
PROP001_R0026,PROP001,26,Deluxe,4,2,City View,25,333,TV|Breakfast Included|Hairdryer|Pool Access|WiFi|Heating|Bathrobe|Desk|Mini Bar|Safe|Iron|Spa,2021
PROP001_R0027,PROP001,27,Suite,5,4,Garden View,49,495,Parking|Breakfast Included|TV|Iron|WiFi|Mini Bar|Balcony|Desk|Gym Access|Safe|Pool Access|Hairdryer,2022
PROP001_R0028,PROP001,28,Deluxe,5,2,Garden View,81,274,AC|Balcony|TV|Heating|Hairdryer|Mini Bar|Desk,2018
PROP001_R0029,PROP001,29,Standard,4,3,City View,96,282,Spa|Mini Bar|Iron|WiFi|Hairdryer|AC,2021
PROP001_R0030,PROP001,30,Standard,5,2,Mountain View,28,367,Balcony|Breakfast Included|Safe|Desk|Gym Access|Iron|Parking|Pool Access|Heating|Bathrobe,2019
PROP002_R0001,PROP002,1,Standard,4,3,Sea View,63,201,Heating|WiFi|Spa|Mini Bar|Bathrobe|AC|Safe|Balcony|Breakfast Included|Parking,2019
PROP002_R0002,PROP002,2,Family,2,2,City View,71,162,Heating|Iron|Breakfast Included|Gym Access|Parking|TV|Spa|Balcony|Desk|Mini Bar,2023
PROP002_R0003,PROP002,3,Standard,1,2,Garden View,31,344,Breakfast Included|Iron|Heating|Parking|AC|Desk|Balcony|Hairdryer|Bathrobe,2019
PROP002_R0004,PROP002,4,Deluxe,5,1,Standard,75,130,Safe|Breakfast Included|TV|Hairdryer|Parking|Balcony|Spa|Desk,2015
PROP002_R0005,PROP002,5,Standard,1,2,Sea View,73,392,Balcony|WiFi|Iron|Gym Access|Heating|Safe|Parking|Desk|Spa|Mini Bar|Bathrobe,2021
PROP002_R0006,PROP002,6,Standard,5,1,City View,38,175,Breakfast Included|AC|Desk|Heating|Balcony,2015
PROP002_R0007,PROP002,7,Standard,3,4,Sea View,51,247,Hairdryer|Heating|WiFi|Parking|Gym Access|TV|Desk,2018
PROP002_R0008,PROP002,8,Standard,2,4,Mountain View,75,172,Desk|Bathrobe|Balcony|Pool Access|Mini Bar|Heating,2018
PROP002_R0009,PROP002,9,Standard,2,2,Standard,89,444,Hairdryer|WiFi|Heating|Desk|Gym Access|Pool Access|Breakfast Included,2019
PROP002_R0010,PROP002,10,Suite,2,4,City View,92,173,Bathrobe|Hairdryer|WiFi|Spa|Breakfast Included|Desk,2022
PROP002_R0011,PROP002,11,Deluxe,3,4,Standard,22,197,Spa|Breakfast Included|WiFi|Safe|Iron|Pool Access|Gym Access|Parking|AC,2019
PROP002_R0012,PROP002,12,Standard,3,4,Mountain View,86,196,Safe|WiFi|AC|Parking|Heating|Mini Bar|Bathrobe|Iron|Hairdryer|TV|Breakfast Included,2020
PROP002_R0013,PROP002,13,Standard,3,3,Garden View,52,473,Breakfast Included|Pool Access|Mini Bar|TV|Parking|WiFi|Iron|Safe|Bathrobe|Heating|Spa,2016
PROP002_R0014,PROP002,14,Deluxe,3,2,City View,30,490,Breakfast Included|Desk|Parking|Balcony|Hairdryer|Safe|Pool Access|Gym Access|Mini Bar|Bathrobe,2019
PROP002_R0015,PROP002,15,Standard,5,3,Sea View,26,301,Pool Access|TV|Safe|Iron|Hairdryer|Heating|Mini Bar,2024
PROP002_R0016,PROP002,16,Standard,3,4,City View,79,418,WiFi|Parking|Iron|Breakfast Included|Pool Access|Mini Bar|Safe|Gym Access|Spa|Bathrobe|Desk,2018
PROP002_R0017,PROP002,17,Standard,5,4,Garden View,88,86,Gym Access|Safe|AC|Parking|Balcony|Iron|Mini Bar|TV|Hairdryer|Pool Access|Spa|Heating,2018
PROP002_R0018,PROP002,18,Family,2,3,City View,38,353,WiFi|TV|Breakfast Included|Spa|Mini Bar|AC|Bathrobe,2021
PROP002_R0019,PROP002,19,Suite,5,4,City View,43,165,Bathrobe|Spa|Pool Access|Breakfast Included|Heating|Safe|WiFi|AC,2021
PROP002_R0020,PROP002,20,Standard,2,4,Garden View,57,153,Iron|WiFi|Balcony|Breakfast Included|AC|Spa|Heating,2022
PROP002_R0021,PROP002,21,Deluxe,5,3,City View,44,398,Iron|Mini Bar|Hairdryer|Desk|Balcony|Pool Access|Bathrobe|Spa|Heating|Gym Access,2022
PROP002_R0022,PROP002,22,Standard,4,2,Sea View,85,359,Spa|Hairdryer|Safe|Parking|Balcony|TV|Breakfast Included|Bathrobe|Iron,2016
PROP002_R0023,PROP002,23,Deluxe,3,1,City View,52,117,Balcony|Gym Access|Iron|TV|AC|Heating|Safe|Breakfast Included,2021
PROP002_R0024,PROP002,24,Standard,2,1,Garden View,27,184,Heating|Pool Access|Iron|Gym Access|Balcony|Spa|Hairdryer|WiFi,2018
PROP002_R0025,PROP002,25,Suite,4,4,City View,67,492,WiFi|Hairdryer|Bathrobe|Mini Bar|Pool Access|Spa|TV|Gym Access|Parking|Desk|Breakfast Included,2021
PROP002_R0026,PROP002,26,Deluxe,5,3,Standard,70,487,TV|Breakfast Included|Parking|Pool Access|Spa|WiFi|Bathrobe|Gym Access,2021
PROP002_R0027,PROP002,27,Family,2,3,Sea View,40,335,Parking|Mini Bar|Balcony|WiFi|Pool Access|Iron|Safe|Bathrobe|AC|Gym Access|Breakfast Included|Spa,2022
PROP002_R0028,PROP002,28,Deluxe,2,3,City View,88,366,Balcony|Pool Access|Gym Access|Breakfast Included|Spa,2020
PROP002_R0029,PROP002,29,Deluxe,3,4,Mountain View,83,98,Balcony|Bathrobe|Hairdryer|Pool Access|Parking|AC|Spa|WiFi|TV|Heating|Safe,2016
PROP002_R0030,PROP002,30,Standard,1,4,Garden View,49,95,Spa|Breakfast Included|Hairdryer|WiFi|Mini Bar,2017
PROP003_R0001,PROP003,1,Family,2,3,Garden View,56,329,TV|Safe|AC|Mini Bar|Breakfast Included|Spa|Parking,2020
PROP003_R0002,PROP003,2,Standard,2,2,Standard,79,165,Gym Access|Parking|AC|Mini Bar|WiFi|Iron,2024
PROP003_R0003,PROP003,3,Standard,4,1,City View,86,177,Pool Access|AC|Mini Bar|Desk|Safe|Breakfast Included|Iron|Parking|Hairdryer|TV|Balcony,2015
PROP003_R0004,PROP003,4,Deluxe,3,2,Sea View,86,409,Desk|AC|Balcony|Safe|Gym Access|WiFi|Pool Access|Spa|Iron|Breakfast Included|Heating,2022
PROP003_R0005,PROP003,5,Standard,2,2,Sea View,46,435,Gym Access|Desk|Balcony|Safe|Parking|Mini Bar|Hairdryer|Spa|Bathrobe|Breakfast Included|TV,2024
PROP003_R0006,PROP003,6,Standard,3,4,City View,28,348,Spa|Hairdryer|AC|Parking|TV|Breakfast Included|Desk|Pool Access|Gym Access|WiFi,2022
PROP003_R0007,PROP003,7,Suite,3,3,Standard,61,296,TV|Breakfast Included|Gym Access|Bathrobe|Parking|Hairdryer|Desk,2024
PROP003_R0008,PROP003,8,Deluxe,3,2,City View,43,62,Pool Access|AC|Breakfast Included|Desk|TV,2022
PROP003_R0009,PROP003,9,Standard,5,3,City View,55,222,TV|Safe|Desk|Spa|Bathrobe|WiFi|AC|Parking,2018
PROP003_R0010,PROP003,10,Standard,4,4,Garden View,34,141,Mini Bar|Safe|TV|Gym Access|Spa|Balcony|Iron|Bathrobe,2021
PROP003_R0011,PROP003,11,Deluxe,5,4,Mountain View,44,235,Desk|TV|Spa|Parking|Bathrobe|Iron|Breakfast Included|AC|Mini Bar|Heating,2016
PROP003_R0012,PROP003,12,Deluxe,5,1,Sea View,77,391,Pool Access|Breakfast Included|Desk|Spa|Parking|Mini Bar|Balcony,2024
PROP003_R0013,PROP003,13,Standard,3,2,Mountain View,79,150,Pool Access|Parking|Breakfast Included|Gym Access|Heating|Iron,2015
PROP003_R0014,PROP003,14,Deluxe,5,1,Garden View,24,152,Balcony|WiFi|Iron|TV|Parking|Heating|Spa,2016
PROP003_R0015,PROP003,15,Standard,1,1,Garden View,66,404,TV|Spa|Iron|Gym Access|Heating|WiFi|Parking|Hairdryer|AC,2016
PROP003_R0016,PROP003,16,Deluxe,4,4,Standard,49,196,Heating|Mini Bar|Safe|Hairdryer|WiFi|TV|Bathrobe|Parking|AC|Spa|Desk|Balcony,2021
PROP003_R0017,PROP003,17,Suite,5,3,Mountain View,77,488,Bathrobe|Spa|Iron|Parking|Mini Bar|Pool Access|TV|WiFi,2024
PROP003_R0018,PROP003,18,Standard,1,2,Standard,81,328,Pool Access|Parking|Safe|AC|Heating|Breakfast Included|Desk|Balcony,2016
PROP003_R0019,PROP003,19,Deluxe,2,4,Standard,20,107,Hairdryer|Spa|Desk|Mini Bar|Iron,2019
PROP003_R0020,PROP003,20,Family,1,3,Sea View,67,138,Mini Bar|Desk|Parking|Iron|Spa|AC|Breakfast Included|Hairdryer,2024
PROP003_R0021,PROP003,21,Deluxe,2,1,City View,35,238,Breakfast Included|Balcony|TV|Safe|Heating|Parking|Desk|AC|WiFi|Iron|Mini Bar,2024
PROP003_R0022,PROP003,22,Suite,5,3,Standard,41,398,Iron|AC|Spa|Desk|Parking|Pool Access|Bathrobe|Balcony|Hairdryer,2022
PROP003_R0023,PROP003,23,Deluxe,1,4,Sea View,35,484,Hairdryer|Desk|Gym Access|Mini Bar|Parking,2015
PROP003_R0024,PROP003,24,Suite,1,1,Standard,97,269,WiFi|Bathrobe|Safe|Parking|Mini Bar|TV|Heating|Spa,2023
PROP003_R0025,PROP003,25,Standard,4,1,Garden View,88,253,Gym Access|Mini Bar|Pool Access|Safe|Spa|AC|Desk|TV|Hairdryer,2020
PROP003_R0026,PROP003,26,Standard,3,2,Standard,58,149,Gym Access|TV|Pool Access|Desk|Spa|Parking,2021
PROP003_R0027,PROP003,27,Standard,5,2,Standard,42,299,Iron|AC|Gym Access|Parking|Hairdryer,2016
PROP003_R0028,PROP003,28,Deluxe,4,1,Garden View,53,229,Iron|Pool Access|WiFi|Breakfast Included|Balcony,2020
PROP003_R0029,PROP003,29,Deluxe,5,2,Mountain View,77,145,Iron|Bathrobe|WiFi|Breakfast Included|Parking|Balcony|Heating|Desk|Spa|Gym Access|TV|Hairdryer,2015
PROP003_R0030,PROP003,30,Family,5,1,Standard,23,65,Gym Access|Parking|Balcony|WiFi|Hairdryer|Pool Access|AC|Breakfast Included,2016
PROP004_R0001,PROP004,1,Standard,4,3,Sea View,51,389,Parking|Spa|Desk|TV|Balcony|Bathrobe,2021
PROP004_R0002,PROP004,2,Deluxe,4,2,Mountain View,52,466,Spa|TV|Balcony|Heating|Pool Access|Breakfast Included|Mini Bar|Hairdryer|Bathrobe|Desk|WiFi|Iron,2021
PROP004_R0003,PROP004,3,Suite,3,3,Standard,31,372,WiFi|Parking|Desk|Iron|Mini Bar|Hairdryer|Spa|Heating|Safe,2023
PROP004_R0004,PROP004,4,Suite,4,4,Sea View,62,93,Safe|Balcony|Bathrobe|Iron|Pool Access|Spa|Gym Access|Breakfast Included|Hairdryer|Parking,2021
PROP004_R0005,PROP004,5,Standard,2,4,Sea View,54,264,AC|Gym Access|Desk|Spa|Hairdryer|Pool Access|Safe|Heating|Bathrobe|WiFi|TV,2023
PROP004_R0006,PROP004,6,Standard,5,4,Standard,45,139,Breakfast Included|Hairdryer|Iron|Spa|AC|Balcony|Bathrobe|WiFi|Heating|TV,2017
PROP004_R0007,PROP004,7,Standard,1,3,City View,26,245,Balcony|Gym Access|Mini Bar|Desk|Pool Access|Safe|AC|Iron|Bathrobe|Heating|TV|Breakfast Included,2023
PROP004_R0008,PROP004,8,Deluxe,1,2,Standard,94,462,Spa|Safe|Iron|Parking|Breakfast Included|AC,2021
PROP004_R0009,PROP004,9,Standard,1,1,Standard,55,443,Iron|Heating|Desk|Parking|WiFi|Hairdryer,2020
PROP004_R0010,PROP004,10,Deluxe,1,4,Mountain View,68,148,Desk|Gym Access|Pool Access|Heating|Breakfast Included|Balcony|Hairdryer|Bathrobe|Safe,2017
PROP004_R0011,PROP004,11,Deluxe,1,2,City View,43,200,Spa|TV|Mini Bar|Heating|Breakfast Included|Iron|Parking|Safe|Hairdryer|Gym Access|WiFi,2022
PROP004_R0012,PROP004,12,Family,3,1,Garden View,74,62,Heating|Spa|Gym Access|Mini Bar|Parking|Safe|Pool Access,2019
PROP004_R0013,PROP004,13,Suite,4,3,City View,49,322,Pool Access|TV|Hairdryer|Spa|AC|Breakfast Included|Iron|Gym Access|Parking,2019
PROP004_R0014,PROP004,14,Deluxe,1,4,City View,32,236,Balcony|WiFi|Mini Bar|Safe|Desk|Iron|Hairdryer|Spa|Parking|Pool Access|AC,2024
PROP004_R0015,PROP004,15,Standard,3,4,Garden View,80,282,Pool Access|Mini Bar|Parking|Safe|Desk|Bathrobe|Heating|AC,2015
PROP004_R0016,PROP004,16,Suite,3,1,Garden View,97,272,AC|Mini Bar|Gym Access|Desk|Heating|TV|Parking|Hairdryer|Pool Access|Safe|Spa|Balcony,2023
PROP004_R0017,PROP004,17,Penthouse,3,3,Sea View,35,422,Gym Access|Parking|Hairdryer|Spa|Iron|TV|AC|Bathrobe|Mini Bar,2017
PROP004_R0018,PROP004,18,Standard,2,4,City View,71,428,Desk|AC|Bathrobe|Pool Access|WiFi|Parking|Balcony|Iron|Spa|Heating|Gym Access,2019
PROP004_R0019,PROP004,19,Standard,5,1,City View,58,158,Desk|AC|Safe|Breakfast Included|Spa|WiFi|Mini Bar|Balcony|Gym Access|Parking|Iron,2016
PROP004_R0020,PROP004,20,Family,4,2,Sea View,24,212,Hairdryer|AC|Heating|WiFi|Bathrobe|Parking|Spa|Iron|Balcony,2018
PROP004_R0021,PROP004,21,Family,5,3,Mountain View,37,288,Bathrobe|Spa|Gym Access|Safe|Desk|Balcony|Pool Access,2024
PROP004_R0022,PROP004,22,Standard,2,2,Sea View,36,302,Breakfast Included|Hairdryer|Spa|Mini Bar|Pool Access|Parking|WiFi|Gym Access|TV|Iron|Desk,2018
PROP004_R0023,PROP004,23,Suite,3,2,Standard,59,219,Desk|Balcony|Safe|Gym Access|WiFi|Pool Access,2019
PROP004_R0024,PROP004,24,Deluxe,2,3,Sea View,85,54,Iron|AC|Safe|Breakfast Included|Hairdryer|Desk,2024
PROP004_R0025,PROP004,25,Deluxe,1,2,Mountain View,27,414,Safe|Breakfast Included|Heating|Bathrobe|Mini Bar,2018
PROP004_R0026,PROP004,26,Deluxe,1,4,City View,90,266,Pool Access|Hairdryer|Iron|Breakfast Included|Gym Access|Heating|Mini Bar|WiFi,2019
PROP004_R0027,PROP004,27,Deluxe,2,4,Garden View,50,324,Balcony|Bathrobe|Heating|AC|Safe|WiFi|Hairdryer,2015
PROP004_R0028,PROP004,28,Suite,3,2,Mountain View,93,395,Safe|WiFi|Heating|Parking|Iron|Hairdryer|Pool Access|Balcony,2016
PROP004_R0029,PROP004,29,Standard,1,2,Mountain View,64,190,Iron|Bathrobe|Gym Access|Balcony|Mini Bar|AC|Spa|TV|Breakfast Included|Parking|WiFi|Pool Access,2019
PROP004_R0030,PROP004,30,Deluxe,4,2,Sea View,39,366,AC|Spa|Hairdryer|Pool Access|Bathrobe,2016
PROP005_R0001,PROP005,1,Suite,4,3,City View,22,397,Heating|Iron|AC|Gym Access|Mini Bar|TV|Hairdryer|Safe|Parking|Spa|Bathrobe|Pool Access,2023
PROP005_R0002,PROP005,2,Penthouse,3,3,Garden View,44,361,Mini Bar|Spa|Balcony|TV|Pool Access|AC|Safe|Hairdryer|Breakfast Included|Iron|Desk,2018
PROP005_R0003,PROP005,3,Deluxe,4,1,Sea View,63,222,Iron|Pool Access|TV|Desk|AC|Gym Access|Hairdryer|Safe|Parking|Heating,2017
PROP005_R0004,PROP005,4,Penthouse,4,1,Standard,99,423,Heating|Hairdryer|AC|Iron|Pool Access|Bathrobe,2020
PROP005_R0005,PROP005,5,Family,2,4,Standard,55,276,Safe|TV|AC|Pool Access|Gym Access,2021
PROP005_R0006,PROP005,6,Deluxe,1,1,Sea View,66,282,Mini Bar|Gym Access|AC|TV|Balcony|Breakfast Included|Heating|Spa|Safe,2016
PROP005_R0007,PROP005,7,Standard,3,3,City View,73,423,Breakfast Included|Bathrobe|Parking|Mini Bar|TV|Pool Access|Balcony|Iron|WiFi|Hairdryer,2019
PROP005_R0008,PROP005,8,Deluxe,1,3,City View,94,61,Balcony|Desk|Bathrobe|Parking|Gym Access|Iron|WiFi,2017
PROP005_R0009,PROP005,9,Penthouse,2,4,Garden View,43,205,Heating|TV|Desk|Safe|WiFi|AC|Balcony|Breakfast Included|Pool Access|Mini Bar|Spa,2020
PROP005_R0010,PROP005,10,Standard,2,2,Garden View,55,139,Mini Bar|Desk|Gym Access|Bathrobe|TV|Iron|AC|WiFi|Heating|Safe,2024
PROP005_R0011,PROP005,11,Deluxe,1,4,Sea View,47,269,Balcony|Spa|Safe|Pool Access|Iron|Mini Bar,2022
PROP005_R0012,PROP005,12,Deluxe,4,4,Mountain View,82,194,Pool Access|Bathrobe|Balcony|AC|Gym Access|TV|Iron|Parking|Spa,2023
PROP005_R0013,PROP005,13,Standard,3,1,Garden View,96,269,Spa|Pool Access|Mini Bar|WiFi|Bathrobe,2018
PROP005_R0014,PROP005,14,Standard,3,1,Mountain View,25,131,Parking|Bathrobe|TV|Hairdryer|Gym Access|AC|WiFi|Spa,2021
PROP005_R0015,PROP005,15,Deluxe,2,1,City View,85,59,Bathrobe|Balcony|Desk|Breakfast Included|Iron|Hairdryer|Gym Access,2016
PROP005_R0016,PROP005,16,Family,4,2,Mountain View,24,168,Hairdryer|WiFi|Spa|AC|Gym Access,2024
PROP005_R0017,PROP005,17,Deluxe,4,2,City View,37,273,Hairdryer|Parking|AC|Pool Access|WiFi|Gym Access|Heating|Spa|Safe|Desk|Breakfast Included,2016
PROP005_R0018,PROP005,18,Penthouse,2,3,Standard,45,112,Bathrobe|Balcony|AC|Pool Access|Parking|Gym Access|Breakfast Included|Safe|Heating|WiFi|Desk,2016
PROP005_R0019,PROP005,19,Deluxe,5,3,Mountain View,68,466,Desk|Gym Access|TV|Safe|Heating|Breakfast Included|AC|Hairdryer,2019
PROP005_R0020,PROP005,20,Deluxe,2,3,City View,40,360,Parking|Bathrobe|Iron|Safe|AC|Heating|Spa,2022
PROP005_R0021,PROP005,21,Family,5,1,Standard,24,407,Safe|Hairdryer|TV|Gym Access|Heating|Spa|AC|Iron|Balcony|Bathrobe|Desk|Pool Access,2024
PROP005_R0022,PROP005,22,Family,1,3,Standard,72,214,Heating|Parking|Spa|Hairdryer|WiFi|Desk|Gym Access|Iron|AC|Mini Bar,2016
PROP005_R0023,PROP005,23,Suite,5,3,City View,97,415,Iron|Mini Bar|Balcony|Bathrobe|Desk|WiFi|Spa|Breakfast Included|Gym Access|Parking|Hairdryer,2023
PROP005_R0024,PROP005,24,Standard,2,1,Standard,23,495,Iron|AC|Bathrobe|Gym Access|Desk,2016
PROP005_R0025,PROP005,25,Family,5,4,Sea View,91,88,AC|Breakfast Included|Desk|Spa|Bathrobe|Balcony|Safe,2024
PROP005_R0026,PROP005,26,Deluxe,2,2,Mountain View,69,317,Desk|Iron|Parking|Pool Access|Bathrobe|Gym Access|Mini Bar|WiFi|Safe|Balcony,2020
PROP005_R0027,PROP005,27,Suite,1,4,Standard,76,450,Mini Bar|Parking|Desk|Safe|TV|Heating|Gym Access|AC|Bathrobe|Spa|Pool Access,2021
PROP005_R0028,PROP005,28,Standard,2,3,Standard,33,115,Mini Bar|Balcony|Pool Access|Safe|Gym Access|Heating,2023
PROP005_R0029,PROP005,29,Suite,1,3,Garden View,57,355,Desk|WiFi|Gym Access|Parking|Heating|Breakfast Included|Hairdryer|Spa|Safe|AC|Pool Access,2017
PROP005_R0030,PROP005,30,Deluxe,1,2,Mountain View,70,496,Breakfast Included|Balcony|Bathrobe|Iron|Desk|Hairdryer|WiFi|Gym Access|Heating,2024
PROP006_R0001,PROP006,1,Suite,4,1,City View,98,79,Gym Access|Heating|Hairdryer|Desk|Mini Bar|Iron|Spa,2015
PROP006_R0002,PROP006,2,Deluxe,4,3,City View,24,334,Spa|TV|Mini Bar|Parking|Desk|Iron|Breakfast Included|Balcony|Hairdryer|Heating,2022
PROP006_R0003,PROP006,3,Standard,2,4,City View,93,322,Iron|Spa|Bathrobe|Parking|Pool Access|Balcony|Safe|Desk|Heating|Mini Bar,2018
PROP006_R0004,PROP006,4,Standard,5,4,Standard,53,311,Balcony|WiFi|Safe|Spa|Gym Access|TV|AC,2023
PROP006_R0005,PROP006,5,Deluxe,1,1,Mountain View,62,289,Heating|Bathrobe|TV|Parking|Spa|Balcony|Hairdryer|Pool Access|AC,2018
PROP006_R0006,PROP006,6,Standard,4,3,City View,42,232,WiFi|Pool Access|TV|Iron|Balcony|Gym Access|Breakfast Included|Bathrobe|AC|Heating,2018
PROP006_R0007,PROP006,7,Deluxe,1,3,Garden View,23,233,Breakfast Included|Hairdryer|Desk|Safe|Gym Access|Heating|Bathrobe|WiFi|Parking|Pool Access,2022
PROP006_R0008,PROP006,8,Deluxe,2,4,Mountain View,46,142,Iron|Mini Bar|WiFi|AC|Hairdryer|Parking|Breakfast Included|Heating|Pool Access|Desk|Balcony|Bathrobe,2019
PROP006_R0009,PROP006,9,Penthouse,1,1,Sea View,70,452,Spa|Pool Access|Safe|Bathrobe|Mini Bar,2022
PROP006_R0010,PROP006,10,Suite,1,2,Garden View,61,366,TV|Mini Bar|Balcony|WiFi|Safe|Hairdryer,2024
PROP006_R0011,PROP006,11,Standard,2,2,City View,24,282,Mini Bar|Pool Access|WiFi|TV|Gym Access|Breakfast Included|Bathrobe,2021
PROP006_R0012,PROP006,12,Deluxe,2,2,Sea View,68,127,Desk|AC|Balcony|Hairdryer|Bathrobe|TV,2023
PROP006_R0013,PROP006,13,Standard,1,3,City View,45,298,TV|WiFi|Safe|Pool Access|Gym Access|Parking|Iron|Desk|AC|Heating|Spa,2016
PROP006_R0014,PROP006,14,Deluxe,5,2,Mountain View,82,97,Parking|WiFi|Gym Access|Balcony|Hairdryer|Safe|Heating|Spa|Bathrobe|Desk,2017
PROP006_R0015,PROP006,15,Standard,2,2,Garden View,20,57,Iron|WiFi|Parking|Breakfast Included|TV|Bathrobe,2015
PROP006_R0016,PROP006,16,Suite,3,1,Garden View,98,352,Bathrobe|Hairdryer|Balcony|Spa|Parking|WiFi|Breakfast Included|Desk|Gym Access,2015
PROP006_R0017,PROP006,17,Deluxe,3,2,Sea View,47,127,Breakfast Included|Bathrobe|Gym Access|Pool Access|Iron|Spa|Desk|Hairdryer|Heating,2022
PROP006_R0018,PROP006,18,Deluxe,4,1,Sea View,33,236,Balcony|Bathrobe|AC|Desk|Pool Access|Hairdryer|Iron|Heating|Parking|TV,2016
PROP006_R0019,PROP006,19,Standard,1,3,Mountain View,42,287,Mini Bar|Parking|Spa|TV|Desk|Pool Access|Heating|Hairdryer|Gym Access|Breakfast Included,2015
PROP006_R0020,PROP006,20,Suite,3,4,Standard,37,343,Balcony|Safe|Bathrobe|WiFi|AC|Iron|Pool Access|Gym Access|Heating|Hairdryer|Desk,2024
PROP006_R0021,PROP006,21,Deluxe,4,3,City View,47,251,Parking|AC|Breakfast Included|Bathrobe|Safe,2020
PROP006_R0022,PROP006,22,Deluxe,3,1,Sea View,63,74,AC|Mini Bar|Heating|Safe|Spa|Gym Access|Bathrobe|Desk|TV|Parking|Balcony,2023
PROP006_R0023,PROP006,23,Family,3,4,City View,87,443,Safe|TV|Parking|Breakfast Included|AC|WiFi|Heating|Spa|Pool Access|Hairdryer|Iron,2019
PROP006_R0024,PROP006,24,Suite,3,1,Sea View,53,160,Pool Access|Mini Bar|Parking|Desk|Spa|Breakfast Included|AC|Heating|Iron|Safe|Bathrobe|TV,2016
PROP006_R0025,PROP006,25,Suite,3,1,Garden View,61,474,Heating|Balcony|Iron|Parking|Bathrobe|TV|Safe|Gym Access|Breakfast Included|WiFi,2018
